date,nima_toman_close
1397-08,8775.0
1397-09,8864.7
1397-10,8727.185185185184
1397-11,8994.541666666666
1397-12,9148.739130434782
1398-01,9146.0
1398-02,10069.631578947368
1398-03,11201.90909090909
1398-04,11503.0
1398-05,11399.458333333334
1398-06,10925.708333333334
1398-07,10781.28
1398-08,10685.454545454546
1398-09,11078.115384615385
1398-10,11749.92
1398-11,12467.875
1398-12,13480.809523809523
1399-01,13840.5625
1399-02,14287.555555555555
1399-03,15777.947368421053
1399-04,17166.222222222223
1399-05,18683.7
1399-06,21316.0
1399-07,24545.090909090908
1399-08,26107.909090909092
1399-09,25666.875
1399-10,25185.96
1399-11,23304.608695652172
1399-12,23339.954545454544
1400-01,22840.409090909092
1400-02,21646.81818181818
1400-03,20371.24
1400-04,21745.954545454544
1400-05,22374.29411764706
1400-06,22868.045454545456
1400-07,23191.736842105263
1400-08,23179.84
1400-09,23712.5
1400-10,24497.666666666668
1400-11,24020.416666666668
1400-12,23886.954545454544
1401-01,24224.434782608696
1401-02,24749.304347826088
1401-03,24642.72
1401-04,25741.0
1401-05,26332.56
1401-06,26619.4
1401-07,26950.136363636364
1401-08,27370.73076923077
1401-09,28159.571428571428
1401-10,28562.25
1401-12,37595.333333333336
1402-01,37525.36363636364
1402-02,37987.8
1402-03,37712.15789473684
1402-04,37182.125
1402-07,37126.84210526316
1402-08,37299.346153846156
1402-09,38144.954545454544
1402-10,38912.95
1402-11,39228.22222222222
1402-12,39761.28571428572
1403-01,40267.142857142855
1403-02,41035.57142857143
1403-03,41995.6
1403-04,43007.769230769234
1403-05,44203.5625
1403-06,45279.23529411765
1403-07,47036.307692307695
1403-08,49353.86956521739
1403-09,54818.333333333336
1403-10,65077.2
1403-11,66445.66666666667
1403-12,67609.43478260869
1404-01,68412.83333333333
1404-02,68708.88461538461
1404-03,68609.42857142857
1404-04,68860.77777777778
1404-05,69198.625
1404-06,69248.79166666667
1404-07,69587.08695652174
1404-08,70213.33333333333
1404-09,71053.0
